id	description	type
1159863	Terrestrial.	habitat
1159864	Terrestrial.	habitat
1159865	Terrestrial.	habitat
1159866	Terrestrial.	habitat
1159867	Terrestrial.	habitat
1159868	Terrestrial.	habitat
1159869	Terrestrial.	habitat
1159870	Terrestrial.	habitat
1159871	Terrestrial.	habitat
1159872	Terrestrial.	habitat
1159873	Terrestrial.	habitat
1159874	Terrestrial.	habitat
1159875	Terrestrial.	habitat
1159876	Terrestrial.	habitat
1159877	Terrestrial.	habitat
1159878	Terrestrial.	habitat
1159879	Terrestrial.	habitat
1159880	Terrestrial.	habitat
1159881	Terrestrial.	habitat
1159882	Terrestrial.	habitat
1159883	Terrestrial.	habitat
1159884	Terrestrial.	habitat
1159885	Terrestrial.	habitat
1159886	Terrestrial.	habitat
1159887	Terrestrial.	habitat
1159888	Terrestrial.	habitat
1159889	Terrestrial.	habitat
1159890	Terrestrial.	habitat
1159891	Terrestrial.	habitat
1159892	Terrestrial.	habitat
1159893	Terrestrial.	habitat
1159894	Terrestrial.	habitat
1159895	Terrestrial.	habitat
