uid	|	name	|	type	|	rank	|	
1184366	|	Cilnia humeralis brevipennis	|	synonym	|		|	
1184366	|	Cilnia humeralis ignota	|	synonym	|		|	
1184366	|	Cilnia humeralis latipes	|	synonym	|		|	
1184362	|	Leomantis	|	synonym	|		|	
1184373	|	Miomantis lamalis	|	synonym	|		|	
1184376	|	Miomantis equalis	|	synonym	|		|	
1184392	|	Miomantis hosia	|	synonym	|		|	
1184404	|	Miomantis crystalina	|	synonym	|		|	
1184404	|	Miomantis marginalis	|	synonym	|		|	
1184404	|	Miomantis minor	|	synonym	|		|	
1184404	|	Miomantis nana	|	synonym	|		|	
1184414	|	Miomantis irrorata	|	synonym	|		|	
1184419	|	Miomantis cormantiella	|	synonym	|		|	
1184426	|	Miomantis forficata	|	synonym	|		|	
1184426	|	Miomantis vitrata	|	synonym	|		|	
1184435	|	Miomantis pharaonica	|	synonym	|		|	
1184435	|	Miomantis pharaonis	|	synonym	|		|	
1184435	|	Miomantis savignyi	|	synonym	|		|	
1184435	|	Miomantis senegalensis	|	synonym	|		|	
1184372	|	Calidomantis	|	synonym	|		|	
1184372	|	Oreomantis	|	synonym	|		|	
1184465	|	Zulumantis	|	synonym	|		|	
1184482	|	Sphodropoda mjobergi	|	synonym	|		|	
1184482	|	Sphodropoda moesta	|	synonym	|		|	
1184482	|	Sphodropoda papua	|	synonym	|		|	
1184491	|	Taumantis ehrmannii	|	synonym	|		|	
1184493	|	Ngawala	|	synonym	|		|	
1184498	|	Zopheromantis trimaculata	|	synonym	|		|	
1184503	|	Bolivaria commutata	|	synonym	|		|	
1184506	|	Bolivaria moseri	|	synonym	|		|	
1184506	|	Mantis ochroptera	|	synonym	|		|	
1184512	|	Carvilia kuhlgatzi	|	synonym	|		|	
1184517	|	Deiphobe microptera	|	synonym	|		|	
1184520	|	Deiphobe ocellata	|	synonym	|		|	
1184523	|	Deiphobe robusta	|	synonym	|		|	
1184514	|	Sphendale	|	synonym	|		|	
1184532	|	Eremoplana ocellata	|	synonym	|		|	
1184554	|	Ischnomantis attarensis	|	synonym	|		|	
1184587	|	Rivetina maculipennis	|	synonym	|		|	
1184587	|	Rivetina pallasii	|	synonym	|		|	
1184607	|	Rivetina syriaca festae	|	synonym	|		|	
1184567	|	Eufischeriella	|	synonym	|		|	
1184567	|	Fischeria	|	synonym	|		|	
1184616	|	Rivetina caucasica ragnari	|	synonym	|		|	
1184567	|	Kinzelbachia	|	synonym	|		|	
1184623	|	Solygia grandis	|	synonym	|		|	
1184660	|	Oxyothespis tadzhicus	|	synonym	|		|	
1184660	|	Oxyothespis turcomaniae	|	synonym	|		|	
1184634	|	Oxythespis	|	synonym	|		|	
1184683	|	Calidomantis ehrenbergi	|	synonym	|		|	
1184702	|	Coptopteryx affinis	|	synonym	|		|	
1184706	|	Coptopteryx crenaticollis	|	synonym	|		|	
1184710	|	Coptopteryx rehni	|	synonym	|		|	
1184717	|	Coptopteryx stolli	|	synonym	|		|	
1184725	|	Coptopteryx fallax	|	synonym	|		|	
1184701	|	Brachypteromantis	|	synonym	|		|	
1184735	|	Cardioptera pilipes	|	synonym	|		|	
1184735	|	Cardioptera sublobata	|	synonym	|		|	
1184740	|	Cardioptera signata	|	synonym	|		|	
1184743	|	Cardioptera paraopeba	|	synonym	|		|	
1184748	|	Hicetia gracilicollis	|	synonym	|		|	
1184750	|	Pentacantha	|	synonym	|		|	
1184760	|	Metriomantis pilosa	|	synonym	|		|	
1184764	|	Metriomantis gymnopyga	|	synonym	|		|	
1184764	|	Metriomantis longicornis	|	synonym	|		|	
1184764	|	Metriomantis pellucida	|	synonym	|		|	
1184764	|	Metriomantis translucida	|	synonym	|		|	
1184770	|	Microphotina viridescens	|	synonym	|		|	
1184773	|	Orthoderella anisitsi	|	synonym	|		|	
1184772	|	Euryderes	|	synonym	|		|	
1184781	|	Paraphotina gracilipes	|	synonym	|		|	
