id	bibliographicCitation	title	creator	date	source	type
1182287	Saussure. 1870. Mitt. schweiz. ent. Ges. 3:223		Saussure	1870	Mitt. schweiz. ent. Ges.	publication
1182287	Saussure. 1871. Mem. Soc. Hist. nat. Geneve 21:331		Saussure	1871	Mem. Soc. Hist. nat. Geneve	publication
1182287	Westwood. 1889. Revis. Mantid. 26		Westwood	1889	Revis. Mantid.	publication
1182287	Sharp. 1899. Proc. Cambridge Soc. Nat. Hist. 10:175,  pl. 2		Sharp	1899	Proc. Cambridge Soc. Nat. Hist.	publication
1182287	Shelford. 1903. Zoologist 4 7:298		Shelford	1903	Zoologist	publication
1182287	Kirby. 1904. Syn. Cat. Orth. 1:316		Kirby	1904	Syn. Cat. Orth.	publication
1182287	Chopard. 1914. Voy. Ch. Alluaud et R. Jeannel Afr. Orient 23-71		Chopard	1914	Voy. Ch. Alluaud et R. Jeannel Afr. Orient	publication
1182287	Beier. 1934. Genera Insect. 197:7		Beier	1934	Genera Insect.	publication
1182287	Beier. 1956. Jh. Ver. vaterl. Naturk. Wurttemberg 111:54-		Beier	1956	Jh. Ver. vaterl. Naturk. Wurttemberg	publication
1182287	Ehrmann. 2002. Mantodea der Welt 192		Ehrmann	2002	Mantodea der Welt	publication
1182287	Roy. 2004. Revue Francaise D’Entomologie. 26(1):1-18		Roy	2004	Revue Francaise D’Entomologie.	publication
1182288	Shelford. 1903. Zoologist 4 7:295		Shelford	1903	Zoologist	original
1182288	Kirby. 1904. Syn. Cat. Orth. 1:316		Kirby	1904	Syn. Cat. Orth.	publication
1182288	Beier. 1934. Genera Insectorum 197:7		Beier	1934	Genera Insectorum	publication
1182288	Ehrmann. 2002. Mantodea der Welt 192		Ehrmann	2002	Mantodea der Welt	publication
1182289	Saussure. 1869. Mitt. schweiz. ent. Ges. 3:52,  222		Saussure	1869	Mitt. schweiz. ent. Ges.	publication
1182289	Saussure. 1871. Mem. Hist. nat. Mex. 4:7		Saussure	1871	Mem. Hist. nat. Mex.	publication
1182289	Saussure. 1871. Mem. Hist. nat. Mex., Mant. 156		Saussure	1871	Mem. Hist. nat. Mex., Mant.	publication
1182289	Saussure. 1871. Mem. Soc. Hist. nat. Geneve 21:326		Saussure	1871	Mem. Soc. Hist. nat. Geneve	publication
1182289	Saussure. 1871. Mem. Soc. Hist. nat. Geneve 21:328		Saussure	1871	Mem. Soc. Hist. nat. Geneve	publication
1182289	Stal. 1871. Ofvers. K. VetensAkad. Forh. Stockh. 28(3):382		Stal	1871	Ofvers. K. VetensAkad. Forh. Stockh.	publication
1182289	Stal. 1871. Ofvers. K. VetensAkad. Forh. Stockh. 28(3):382		Stal	1871	Ofvers. K. VetensAkad. Forh. Stockh.	publication
1182289	Saussure. 1872. Miss. Mex., Zool. 6:285		Saussure	1872	Miss. Mex., Zool.	publication
1182289	Bolivar. 1876. Sin. Orth. Espana 65		Bolivar	1876	Sin. Orth. Espana	publication
1182289	Saussure & Zehntner. 1894. Biologia centr.-am. Orth. 1:124		Saussure & Zehntner	1894	Biologia centr.-am. Orth.	publication
1182289	Saussure & Zehntner. 1895. Hist. Madag. 23:239		Saussure & Zehntner	1895	Hist. Madag.	publication
1182289	Kirby. 1904. Syn. Cat. Orth. 1:310		Kirby	1904	Syn. Cat. Orth.	publication
1182289	Giglio-Tos. 1917. Bull. Soc. ent. Ital. 48:68		Giglio-Tos	1917	Bull. Soc. ent. Ital.	publication
1182289	Chopard. 1922. Faune France 3:39		Chopard	1922	Faune France	publication
1182289	Handlirsch. 1925. Handb. Ent., Schroder 3:501		Handlirsch	1925	Handb. Ent., Schroder	publication
1182289	Giglio-Tos. 1927. Tierreich 50:633		Giglio-Tos	1927	Tierreich	publication
1182289	Beier. 1934. Genera Insect. 197:2		Beier	1934	Genera Insect.	publication
1182289	Chopard. 1943. Faune Emp. fr. 1:84		Chopard	1943	Faune Emp. fr.	publication
1182289	Beier. 1964. Bronn’s Klass. Ordn. Tierreiches 5 3(6):953		Beier	1964	Bronn’s Klass. Ordn. Tierreiches	publication
1182289	Beier. 1968. Handb. Zool. 4((2) 2/12):12		Beier	1968	Handb. Zool.	publication
1182289	Kaltenbach. 1976. Series Ent. 12:162		Kaltenbach	1976	Series Ent.	publication
1182289	Wang. 1993. Synopsis on Classif. Mantodea from China 55		Wang	1993	Synopsis on Classif. Mantodea from China	publication
1182289	Ehrmann. 2002. Mantodea der Welt 1-519		Ehrmann	2002	Mantodea der Welt	publication
1182290	Gistel. 1856. Myst. Eur. Ins.-Welt. 427		Gistel	1856	Myst. Eur. Ins.-Welt.	original
1182290	Caudell. 1907. Psyche 14:58		Caudell	1907	Psyche	publication
1182290	Giglio-Tos. 1927. Tierreich 50:648		Giglio-Tos	1927	Tierreich	publication
1182290	Ehrmann. 2002. Mantodea der Welt 1-519		Ehrmann	2002	Mantodea der Welt	publication
1182290	Ehrmann. 2002. Mantodea der Welt 369		Ehrmann	2002	Mantodea der Welt	publication
1182291	Gistel. 1856. Myst. Eur. Ins.-Welt. 427		Gistel	1856	Myst. Eur. Ins.-Welt.	original
1182291	Giglio-Tos. 1927. Tierreich 50:648		Giglio-Tos	1927	Tierreich	publication
1182291	Ehrmann. 2002. Mantodea der Welt 1-519		Ehrmann	2002	Mantodea der Welt	publication
1182292	Gistel. 1856. Myst. Eur. Ins.-Welt. 427		Gistel	1856	Myst. Eur. Ins.-Welt.	original
1182293	Gistel. 1856. Myst. Eur. Ins.-Welt. 427>		Gistel	1856	Myst. Eur. Ins.-Welt.	original
1182293	Giglio-Tos. 1927. Tierreich 50:648		Giglio-Tos	1927	Tierreich	publication
1182295	Roy. 2004. Revue Francaise D’Entomologie. 26(1):1-18		Roy	2004	Revue Francaise D’Entomologie.	original
1182296	Giglio-Tos. 1917. Bull. Soc. ent. Ital. 48:69		Giglio-Tos	1917	Bull. Soc. ent. Ital.	original
1182296	Beier. 1934. Genera Insect. 197:5		Beier	1934	Genera Insect.	publication
