taxonID	source	parentNameUsageID	scientificName	higherClassification	taxonRank
ICTV:20160457	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20160457	ICTV:C2virus	Lactococcus virus c2	Viruses|Caudovirales|Siphoviridae|C2virus	species
ICTV:20160459	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20160459	ICTV:C5virus	Lactobacillus virus c5	Viruses|Caudovirales|Siphoviridae|C5virus	species
ICTV:20164980	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20164980	ICTV:C5virus	Lactobacillus virus Ld3	Viruses|Caudovirales|Siphoviridae|C5virus	species
ICTV:20164978	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20164978	ICTV:C5virus	Lactobacillus virus Ld17	Viruses|Caudovirales|Siphoviridae|C5virus	species
ICTV:20164979	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20164979	ICTV:C5virus	Lactobacillus virus Ld25A	Viruses|Caudovirales|Siphoviridae|C5virus	species
ICTV:20160460	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20160460	ICTV:C5virus	Lactobacillus virus LLKu	Viruses|Caudovirales|Siphoviridae|C5virus	species
ICTV:20164981	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20164981	ICTV:C5virus	Lactobacillus virus phiLdb	Viruses|Caudovirales|Siphoviridae|C5virus	species
ICTV:20160462	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20160462	ICTV:Cba181virus	Cellulophaga virus Cba121	Viruses|Caudovirales|Siphoviridae|Cba181virus	species
ICTV:20160463	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20160463	ICTV:Cba181virus	Cellulophaga virus Cba171	Viruses|Caudovirales|Siphoviridae|Cba181virus	species
ICTV:20160464	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20160464	ICTV:Cba181virus	Cellulophaga virus Cba181	Viruses|Caudovirales|Siphoviridae|Cba181virus	species
ICTV:20160466	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20160466	ICTV:Cbastvirus	Cellulophaga virus ST	Viruses|Caudovirales|Siphoviridae|Cbastvirus	species
ICTV:20160468	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20160468	ICTV:Cecivirus	Bacillus virus 250	Viruses|Caudovirales|Siphoviridae|Cecivirus	species
ICTV:20160469	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20160469	ICTV:Cecivirus	Bacillus virus IEBH	Viruses|Caudovirales|Siphoviridae|Cecivirus	species
ICTV:20160471	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20160471	ICTV:Charlievirus	Mycobacterium virus Charlie	Viruses|Caudovirales|Siphoviridae|Charlievirus	species
ICTV:20160472	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20160472	ICTV:Charlievirus	Mycobacterium virus Redi	Viruses|Caudovirales|Siphoviridae|Charlievirus	species
ICTV:20160474	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20160474	ICTV:Che8virus	Mycobacterium virus Ardmore	Viruses|Caudovirales|Siphoviridae|Che8virus	species
ICTV:20160475	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20160475	ICTV:Che8virus	Mycobacterium virus Avani	Viruses|Caudovirales|Siphoviridae|Che8virus	species
