scientificName
Neornithes
Paleognathae
Neognathae
Neoaves
Struthioniformes
Struthionidae
Nomonyx Ridgway, 1880
Nomonyx dominicus (Linnaeus, 1766)
Oxyura Bonaparte, 1828
Oxyura jamaicensis (Gmelin, JF, 1789)
Oxyura jamaicensis rubida (Wilson, A, 1814)
Oxyura jamaicensis jamaicensis (Gmelin, JF, 1789)
Oxyura ferruginea (Eyton, 1838)
Oxyura vittata (Philippi, 1860)
Oxyura australis Gould, 1837
Oxyura maccoa (Eyton, 1838)
Oxyura leucocephala (Scopoli, 1769)
Biziura Stephens, 1824
Biziura lobata (Shaw, 1796)
Biziura lobata lobata (Shaw, 1796)
Biziura lobata menziesi Mathews, 1914
Galliformes
Megapodiidae
Alectura Latham, 1824
Alectura lathami Gray, JE, 1831
Alectura lathami purpureicollis (Le Souef, 1898)
Alectura lathami lathami Gray, JE, 1831
Aepypodius Oustalet, 1880
Aepypodius arfakianus (Salvadori, 1877)
Aepypodius arfakianus arfakianus (Salvadori, 1877)
Aepypodius arfakianus misoliensis Ripley, 1957
Aepypodius bruijnii (Oustalet, 1880)
Talegalla Lesson, R, 1828
Talegalla cuvieri Lesson, R, 1828
Talegalla cuvieri cuvieri Lesson, R, 1828
Talegalla cuvieri granti Roselaar, 1994
Talegalla fuscirostris Salvadori, 1877
Talegalla fuscirostris fuscirostris Salvadori, 1877
Talegalla fuscirostris occidentis White, CMN, 1938
Talegalla fuscirostris aruensis Roselaar, 1994
Talegalla fuscirostris meyeri Roselaar, 1994
Talegalla jobiensis Meyer, AB, 1874
Talegalla jobiensis jobiensis Meyer, AB, 1874
Talegalla jobiensis longicaudus Meyer, AB, 1891
Leipoa Gould, 1840
Leipoa ocellata Gould, 1840
Macrocephalon Müller, S, 1846
Macrocephalon maleo Müller, S, 1846
Eulipoa Ogilvie-Grant, 1893
Eulipoa wallacei (Gray, GR, 1861)
Megapodius Gaimard, 1823
Megapodius pritchardii Gray, GR, 1864
Megapodius laperouse Gaimard, 1823
Megapodius laperouse senex Hartlaub, 1868
Megapodius laperouse laperouse Gaimard, 1823
Megapodius nicobariensis Blyth, 1846
Megapodius nicobariensis nicobariensis Blyth, 1846
Megapodius nicobariensis abbotti Oberholser, 1919
Megapodius cumingii Dillwyn, 1853
Megapodius cumingii cumingii Dillwyn, 1853
Megapodius cumingii dillwyni Tweeddale, 1878
Megapodius cumingii pusillus Tweeddale, 1878
Megapodius cumingii tabon Hachisuka, 1931
Megapodius cumingii gilbertii Gray, GR, 1862
Megapodius cumingii sanghirensis Schlegel, 1880
Megapodius cumingii talautensis Roselaar, 1994
Megapodius bernsteinii Schlegel, 1866
Megapodius tenimberensis Sclater, PL, 1883
Megapodius freycinet Gaimard, 1823
Megapodius freycinet quoyii Gray, GR, 1862
Megapodius freycinet freycinet Gaimard, 1823
Megapodius freycinet oustaleti Roselaar, 1994
Megapodius freycinet forsteni Gray, GR, 1847
