vernacularName	language	taxonID
Black Curassow	en	e645d854289abe8ad2c1bc12cbae3a04
Wattled Curassow	en	6609b8b77a2ca4d9767d32ed73e10ac9
Bare-faced Curassow	en	5f6ba2de6af0421d1172547c0c115333
Red-billed Curassow	en	63e0d9e5aaaaa5887a65ac50e09e2f42
Guineafowl	en	11f2caf123888a6f06cdc0c0fd55dd54
White-breasted Guineafowl	en	8d0a0d99776df6ac18ddfbd2235aeeb8
Black Guineafowl	en	dcb8fdb46091fa1d4f3228e7cb2752e6
Helmeted Guineafowl	en	75ef6a67c9eea6781570a48557a7d7a3
Plumed Guineafowl	en	c266f9dc7dab8c2c50a32093f4f89145
Crested Guineafowl	en	5836bb316f3551196c5f6cabe48ee55c
Vulturine Guineafowl	en	b37465a310162ac51722e20e121bfd85
New World Quail	en	28bb750f95aa27b95644806c1014189e
Stone Partridge	en	6c70e471e949b13cd2d3a9e55b429e6f
Nahan's Partridge	en	2c5786488e2e8e48e61107509efc2471
Bearded Wood Partridge	en	4e6409abc0619bd3a9352e1f0636e638
Long-tailed Wood Partridge	en	6165c4903ee64118591f8d21e83c4c8e
Buffy-crowned Wood Partridge	en	e7148fc838b3b4e6da8249352d27f8c2
Mountain Quail	en	fe2a168f55e195c20eefa3c881eb3570
Scaled Quail	en	0a27d201046e574abcc25810ea2de701
Elegant Quail	en	2e05cc8c68ef7e905cdd7e782753bccb
California Quail	en	826053f438bead0a69647248ebefcc52
Gambel's Quail	en	539bf7d72353b0c69afeb47748593341
Banded Quail	en	bb1909c174e12eb57343fa33779b5c16
Northern Bobwhite	en	1e5f4f487dab3156557143c0be9b3458
Yucatan Bobwhite	en	9c5892b9a21a940b12d3f6774c0c988e
Spot-bellied Bobwhite	en	1f3cd936c92f2fa552ec8d6f59197de2
Crested Bobwhite	en	862b1d0d07540987bdad803a4214e29d
Marbled Wood Quail	en	db0ee14bf233ccfcf5898f467ab8655c
Spot-winged Wood Quail	en	a1760b2b04d1a9435f2ef0d80fd528bc
Black-eared Wood Quail	en	0efce64063528eed15f4b79faedafc95
Rufous-fronted Wood Quail	en	412f59dbb1f49733c6d54aec58f9a871
Black-fronted Wood Quail	en	b5a26fcc33e5c48e67117dc1373cfab6
Chestnut Wood Quail	en	da1253ab8b4b0f1cd25ece39dea6fdd2
Dark-backed Wood Quail	en	c6b8ce4260ae9741929f7a6af2557a6e
Rufous-breasted Wood Quail	en	986c46f604d208d630e6cd093a44033f
Tacarcuna Wood Quail	en	64826241e91b194868f7361db5770cc4
Gorgeted Wood Quail	en	c94d548cd4b26b359ac8925c05996857
Venezuelan Wood Quail	en	8e351bb758e2dd81081b220b98c43db7
Black-breasted Wood Quail	en	fe61b68a510e9398f2e17ab9af13be7e
Stripe-faced Wood Quail	en	c29d8349bee9c3ce27b6e4ba93962c31
Starred Wood Quail	en	1cf39959bafec6e15ebd87240f492233
Spotted Wood Quail	en	c04a13b4d8440ba2e555b5298c6cfd3c
Singing Quail	en	b13cb65c38dbb5d11569db01c5fe71cd
Montezuma Quail	en	9703fa77db25ddd9bea3cc4bdb5412e4
Ocellated Quail	en	8521b30f43d9367eb5ec7b9acb60f3ef
Tawny-faced Quail	en	f7d0e5ee4624d1c12265ff7d3a32fc09
Pheasants and allies	en	6deb264c010141ffcbaac25173624f3d
Wild Turkey	en	c5792bc17a25241c4a01c7e3cd8a6b2b
Ocellated Turkey	en	cc67d82557cb6ed8323f15c1d7b366b7
Ruffed Grouse	en	22b31927eec3c00593b9ec6003221304
Hazel Grouse	en	9a354f3d5ef7bed654305be57d1e3494
Chinese Grouse	en	b8f3491de33bb5fd360e8ac3306ded11
Siberian Grouse	en	8207cd28d4dccc46cbf361bf240f93ba
Spruce Grouse	en	faeea1ffde81fd8b097dbe0ae3c66af3
Western Capercaillie	en	02228b5975cd6b5430e09589a1bd4c91
Black-billed Capercaillie	en	e5dfd4da6670bad2eb3060d7950298a5
Black Grouse	en	269eda25c378b4ef52cf2bc164bb8f84
Caucasian Grouse	en	40b45ab8a0c13fde9de692e1dfa6df69
Sage Grouse	en	beba2edb51ede8c459854bd40e0256b3
Gunnison Grouse	en	e28a69579256bf2b289339ee6b944439
Dusky Grouse	en	f78a41c7fe3b274df32ede3d01dc6d06
Sooty Grouse	en	ff2bf233b2e57ba1e4984cbb5903d9ce
Sharp-tailed Grouse	en	db0f75e99d9faed72b288793362ab366
Lesser Prairie Chicken	en	bbc1356a5868e2c79a543334aa987ada
Greater Prairie Chicken	en	a434b836edca9d8bbbc078d6a738285d
White-tailed Ptarmigan	en	4b2f8aa3a4f6fd474a8b6a3938adbd45
Rock Ptarmigan	en	eb5099a23f44996795ae66840ec2c7f0
Willow Ptarmigan	en	9be03238b87d3a60e4dbc8f86d5f21bf
Snow Partridge	en	7c8efab970a55cee645c84c39f47855b
Verreaux's Monal-Partridge	en	b1db042e10c71b8833eb5a2be5a7ec72
Szechenyi's Monal-Partridge	en	be279c9d17ce6337c814cabe31187cb2
Caucasian Snowcock	en	3dc58394693162d5d6241074d2cd5ad2
Caspian Snowcock	en	561adb7125eb4f6ea363ba633194a3e7
Himalayan Snowcock	en	a6e54f114f50cdd81457dbba4dfd3187
Tibetan Snowcock	en	6c7acc05c9f7df4de8a4c614e4c61f35
Altai Snowcock	en	76e26b903445e2b10e3b02e793ff9899
Rock Partridge	en	c815d1665c7ac9b77db379c4cd90adfe
Chukar Partridge	en	e4b721e4e2a609c121de41545d43f83b
Przevalski's Partridge	en	70141d03ed56084441af9719ed9dfbbc
Philby's Partridge	en	a8db51f3e50b5f7569a10d4fec7910b6
Barbary Partridge	en	52740d8554a89f13b96fa91609d05041
Red-legged Partridge	en	58ab9084cf2613247986b87a17a4c218
Arabian Partridge	en	f6834aff83df2fd3da1e6735cede7fef
See-see Partridge	en	d47b070e1f865499604bfc698cd519b6
Sand Partridge	en	a67e116141175b75b332811e4cc72a20
Black Francolin	en	ea792e2f6ea77e63a1649757921e37ea
Painted Francolin	en	828f9dc56935dd4cf430533049ef4513
Chinese Francolin	en	53503f5f5a8b91002f3a557b54036ae4
Grey Francolin	en	ee8f453e2c43d9e0d752da04be96c0e6
Swamp Francolin	en	c2cf823982d8af25df15789519cbbb30
Latham's Francolin	en	b0f488500cad526df8b7a3c8ff8675e4
Coqui Francolin	en	bcb3552ca01b2d0ce5fe75cae8bbab9d
White-throated Francolin	en	35266fe0bc599e488c165f340921734c
