id	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	scientificName	namePublishedIn	kingdom	taxonRank	scientificNameAuthorship	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	modified
1210421	1210421	urn:lsid:Lygaeoidea.speciesfile.org:TaxonName:487241	1210421	1220388	Nysius senecionis	Schilling. 1829. Hemiptera Heteroptera Silesiae systematice disposuit Schilling. Beitr. Ent.	Animalia	species	(Schilling, 1829)	ICZN	valid			2016-11-08T15:21:00
1210422	1210422	urn:lsid:Lygaeoidea.speciesfile.org:TaxonName:487260	1210416	1220388	Nysius stalianus	Horvath, G. 1890. Synopsis des Nysius Palearctiques. Revue de d’Entomologie, Caen. (Rev. Ent., Caen.)	Animalia	species	Horvath, 1890	ICZN	junior synonym			2016-11-08T15:21:00
1210423	1210423	urn:lsid:Lygaeoidea.speciesfile.org:TaxonName:487250	1210209	1210421	Nysius senecionis aegypticus	Priesner, H.A. & Alfieri. 1953. A review of the Hemiptera Heteroptera known to us from Egypt. Bull. Soc. Fouad ler Ent.	Animalia	species	Priesner & Alfieri, 1953	ICZN	junior synonym			2016-11-08T15:21:00
1210425	1210425	urn:lsid:Lygaeoidea.speciesfile.org:TaxonName:487240	1220388	1210498	Macroparius	Stal, C. 1872. Genera Lygaeidarum Europae disposuit. Öfversigt Vetenskaps-Akademiens Förhandlingar (Ofvers. VetenskAkad. Forh., Stockh.)	Animalia	subgenus	Stal, 1872	ICZN	junior synonym			2016-11-08T15:21:00
1210426	1210426	urn:lsid:Lygaeoidea.speciesfile.org:TaxonName:487230	1210426	1220388	Nysius graminicola	Kolenati, F.A. 1845. Meletemata entomologica. Fascicle II. Hemiptera Caucasi Tessaratomidae monographice dispositae. Imperialis Academiae Scientiarum, Petropoli 72 pp 2pl	Animalia	species	(Kolenati, 1845)	ICZN	valid			2016-11-08T15:21:00
1210428	1210428	urn:lsid:Lygaeoidea.speciesfile.org:TaxonName:487229	1210428	1220388	Nysius eximius	Stal, C. 1858. Beitrag zur Hemipteren-fauna Sibiriens und des Russischen Nord-Amerika. Stettin. Entomol. Ztg.	Animalia	species	Stal, 1858	ICZN	valid			2016-11-08T15:21:00
1210429	1210429	urn:lsid:Lygaeoidea.speciesfile.org:TaxonName:487214	1210429	1220388	Nysius helveticus	Herrich-Schaeffer, G.H.W. 1850. Die Wanzenartigen Insekten. Die Wanzenartigen Insekten. Nurnberg: C. H. Zeh'schen Buchhandlung	Animalia	species	(Herrich-Schaeffer, 1850)	ICZN	valid			2016-11-08T15:21:00
1210430	1210430	urn:lsid:Lygaeoidea.speciesfile.org:TaxonName:487228	1224387	1210429	Nysius obsoletus	Fieber, F.X. 1861. Die Europaischen Hemiptera. Halbflugler (Rhynchota Heteroptera). Die Europaischen Hemiptera. Halbflugler (Rhynchota Heteroptera). Wien: Gerold vi,	Animalia	species	Fieber, 1861	ICZN	junior synonym			2016-11-08T15:21:00
1210431	1210431	urn:lsid:Lygaeoidea.speciesfile.org:TaxonName:487227	1224387	1210429	Nysius punctipes	Jakovlev, B.E. 1871. (Astrakan Hemiptera). Trud. Ent. Ross.	Animalia	species	Jakovlev, 1871	ICZN	junior synonym			2016-11-08T15:21:00
1210432	1210432	urn:lsid:Lygaeoidea.speciesfile.org:TaxonName:487226	1224387	1210429	Heterogaster lineatus	Costa, A. 1855. Cimicum Regni Neapolitani centuria tertia & quartae fragmentum. Atti del Reale Instituto d'Incorragiamento alle scienze Naturali (Atti Ist. Sci. nat. Napoli)	Animalia	species	Costa, 1855	ICZN	junior synonym			2016-11-08T15:21:00
1210433	1210433	urn:lsid:Lygaeoidea.speciesfile.org:TaxonName:487213	1210433	1220388	Nysius transcaspicus	Wagner, E. 1958. Der Nysius-Komplex (Hem. Het. Lygaeidae) in der Palaearktis. Societas Scietiarum Fennica Commentationes Biologicae (Comment. biol., Helsingf.)	Animalia	species	Wagner, 1958	ICZN	valid			2016-11-08T15:21:00
