id	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	scientificName	namePublishedIn	kingdom	taxonRank	scientificNameAuthorship	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	modified
1220615	1220615	urn:lsid:Mantophasmatodea.speciesfile.org:TaxonName:469062	1220615	1220598	Karoophasma botterkloofensis	Klass, Picker, Damgaard, van Noort & Tojo. 2003. The Taxonomy, Genitalic Morphology, and Phylogenetic Relationships of Southern African Mantophasmatodea (Insecta). Entomologische Abhandlungen 61(1):3-67	Animalia	species	Klass, Picker, Damgaard, van Noort & Tojo, 2003	ICZN	valid			2015-12-02T11:43:00
1220616	1220616	urn:lsid:Mantophasmatodea.speciesfile.org:TaxonName:469060	1220616	1220599	Namaquaphasma ookiepensis	Klass, Picker, Damgaard, van Noort & Tojo. 2003. The Taxonomy, Genitalic Morphology, and Phylogenetic Relationships of Southern African Mantophasmatodea (Insecta). Entomologische Abhandlungen 61(1):3-67	Animalia	species	Klass, Picker, Damgaard, van Noort & Tojo, 2003	ICZN	valid			2015-12-02T11:43:00
1220689	1220689	urn:lsid:Mantophasmatodea.speciesfile.org:TaxonName:469046	1220689	1220577	Juramantophasma	Huang, Nel, Zompro & Waller. 2008. Mantophasmatodea now in the Jurassic. Naturwissenschaften 95(10):947-952	Animalia	genus	Huang, Nel, Zompro & Waller, 2008	ICZN	valid			2014-12-17T12:00:00
1220690	1220690	urn:lsid:Mantophasmatodea.speciesfile.org:TaxonName:469047	1220690	1220689	Juramantophasma sinica	Huang, Nel, Zompro & Waller. 2008. Mantophasmatodea now in the Jurassic. Naturwissenschaften 95(10):947-952	Animalia	species	Huang, Nel, Zompro & Waller, 2008	ICZN	valid			2014-12-17T12:00:00
1220694	1220694	urn:lsid:Mantophasmatodea.speciesfile.org:TaxonName:469057	1220694	1220584	Viridiphasma	Eberhard, M. J. B., Picker & Klass. 2011. Sympatry in Mantophasmatodea, with the description of a new species and phylogenetic considerations. Organisms Diversity & Evolution (ODE) 11(1):43-59	Animalia	genus	Eberhard, Picker & Klass, 2011	ICZN	valid			2015-12-02T11:43:00
1220695	1220695	urn:lsid:Mantophasmatodea.speciesfile.org:TaxonName:469058	1220695	1220694	Viridiphasma clanwilliamense	Eberhard, M. J. B., Picker & Klass. 2011. Sympatry in Mantophasmatodea, with the description of a new species and phylogenetic considerations. Organisms Diversity & Evolution (ODE) 11(1):43-59	Animalia	species	Eberhard, Picker & Klass, 2011	ICZN	valid			2015-12-02T11:43:00
1220696	1220696	urn:lsid:Mantophasmatodea.speciesfile.org:TaxonName:469054	1220696	1220576	Striatophasma	Wipfler, Pohl & Predel. 2012. Two new genera and two new species of Mantophasmatodea (Insecta, Polyneoptera) from Namibia. Zookeys 166:75–98, Figs. 2-10	Animalia	genus	Wipfler, Pohl & Predel, 2012	ICZN	valid			2015-12-02T11:43:00
1220699	1220699	urn:lsid:Mantophasmatodea.speciesfile.org:TaxonName:469055	1220699	1220696	Striatophasma naukluftense	Wipfler, Pohl & Predel. 2012. Two new genera and two new species of Mantophasmatodea (Insecta, Polyneoptera) from Namibia. Zookeys 166:75–98, Figs. 2-10	Animalia	species	Wipfler, Pohl & Predel, 2012	ICZN	valid			2015-12-02T11:43:00
1220700	1220700	urn:lsid:Mantophasmatodea.speciesfile.org:TaxonName:469052	1220700	1220576	Pachyphasma	Wipfler, Pohl & Predel. 2012. Two new genera and two new species of Mantophasmatodea (Insecta, Polyneoptera) from Namibia. Zookeys 166:75–98, Figs. 2-10	Animalia	genus	Wipfler, Pohl & Predel, 2012	ICZN	valid			2015-12-02T11:43:00
1220701	1220701	urn:lsid:Mantophasmatodea.speciesfile.org:TaxonName:469053	1220701	1220700	Pachyphasma brandbergense	Wipfler, Pohl & Predel. 2012. Two new genera and two new species of Mantophasmatodea (Insecta, Polyneoptera) from Namibia. Zookeys 166:75–98, Figs. 2-10	Animalia	species	Wipfler, Pohl & Predel, 2012	ICZN	valid			2015-12-02T11:43:00
1223802	1223802	urn:lsid:Mantophasmatodea.speciesfile.org:TaxonName:472392	1223802	1220584	Lobatophasma	Damgaard, Klass, Picker & Buder. 2008. Phylogeny of the Heelwalkers (Insecta: Mantophasmatodea) based on mtDNA sequences, with evidence for additional taxa in South Africa. Molecular Phylogenetics and Evolution (MPE) 47(2):443–462	Animalia	genus	Damgaard, Klass, Picker & Buder, 2008	ICZN	valid	novum		2015-12-02T11:43:00
