uid	|	name	|	type	|	rank	|	
1187631	|	Veneza	|	synonym	|		|	
1187725	|	Anisoscelis antica	|	synonym	|		|	
1187725	|	Cimex momordicae	|	synonym	|		|	
1187725	|	Anisoscelis orientalis	|	synonym	|		|	
1187725	|	Anisoscelis bidentatus	|	synonym	|		|	
1187725	|	Anisoscelis flavopunctatus	|	synonym	|		|	
1187725	|	Anisoscelis praecipua	|	synonym	|		|	
1187725	|	Leptoglossus membranaceus sumbawensis	|	synonym	|		|	
1187725	|	Leptoglossus gonager	|	synonym	|		|	
1187725	|	Cimex australis	|	synonym	|		|	
1187725	|	Cimex membranaceus	|	synonym	|		|	
1187725	|	Cimex grallator	|	synonym	|		|	
1187738	|	Cimex ciliatus	|	synonym	|		|	
1187738	|	Cimex leprosus	|	synonym	|		|	
1187738	|	Cimex candelabrum	|	synonym	|		|	
1187738	|	Cimex crenulatus	|	synonym	|		|	
1187738	|	Lygaeus dispar	|	synonym	|		|	
1187738	|	Anisoscelis divisus	|	synonym	|		|	
1187738	|	Anisoscelis pulverulentus	|	synonym	|		|	
1187738	|	Anisoscelis (Leptoscelis) annulipes	|	synonym	|		|	
1187774	|	Staluptius	|	synonym	|		|	
1187780	|	Chariesterus gracilis	|	synonym	|		|	
1187787	|	Charicoterus mustus	|	synonym	|		|	
1187787	|	Chariesterus maestus	|	synonym	|		|	
1187777	|	Austrocoris	|	synonym	|		|	
1187793	|	Gonocerus dubius	|	synonym	|		|	
1187793	|	Austrocoris antennalis	|	synonym	|		|	
1187777	|	Charieterus	|	synonym	|		|	
1187777	|	Charicoterus	|	synonym	|		|	
1187761	|	Chariesterida	|	synonym	|		|	
1187761	|	Chariesterina	|	synonym	|		|	
1187761	|	Chariesteraria	|	synonym	|		|	
1187761	|	Chariesteridae	|	synonym	|		|	
1187761	|	Chariesterinae	|	synonym	|		|	
1187810	|	Priocnemicoris albithorax patricius	|	synonym	|		|	
1187813	|	Priocnemicoris refulgens	|	synonym	|		|	
1187813	|	Nematopus albithorax	|	synonym	|		|	
1187806	|	Myrsilus	|	synonym	|		|	
1187805	|	Cloresmaria	|	synonym	|		|	
1187830	|	Nematopus brevicornis	|	synonym	|		|	
1187853	|	Lygaeus serrilumbis	|	synonym	|		|	
1187856	|	Nematopus longipes	|	synonym	|		|	
1187856	|	Nematopus malayus	|	synonym	|		|	
1187860	|	Priocnemioides	|	synonym	|		|	
1187805	|	Cloresmidae	|	synonym	|		|	
1187805	|	Cloresminae	|	synonym	|		|	
1187805	|	Notobitaria	|	synonym	|		|	
1187805	|	Notobitini	|	synonym	|		|	
1187885	|	Pajanja	|	synonym	|		|	
1187932	|	Lygaeophorus	|	synonym	|		|	
1187972	|	Xenocolpura	|	synonym	|		|	
1187867	|	Lybantaria	|	synonym	|		|	
1187867	|	Agathyrnaria	|	synonym	|		|	
1188021	|	Colpura speculatrix	|	synonym	|		|	
1188083	|	Hygia japonica	|	synonym	|		|	
1188075	|	Pachycephalus	|	synonym	|		|	
1188088	|	Lybas obscuricornis	|	synonym	|		|	
1188086	|	Lybas	|	synonym	|		|	
1188086	|	Hygia (Lybastes)	|	synonym	|		|	
1188109	|	Pachycephalus touchei	|	synonym	|		|	
1188136	|	Hygia (Pterocolpura) angulicollis	|	synonym	|		|	
1187867	|	Lybantina	|	synonym	|		|	
1188181	|	Acanthocolpura	|	synonym	|		|	
1188195	|	Acanthotyla aruana	|	synonym	|		|	
1188197	|	Agathyrma	|	synonym	|		|	
1188203	|	Astacops delineatus	|	synonym	|		|	
1188203	|	Astacops spinipes	|	synonym	|		|	
1188203	|	Serinetha fascicollis	|	synonym	|		|	
1188225	|	Cletus anticus	|	synonym	|		|	
1187867	|	Lybantini	|	synonym	|		|	
1187867	|	Pachycephalini	|	synonym	|		|	
1187867	|	Hygiinae	|	synonym	|		|	
1187867	|	Agathyrini	|	synonym	|		|	
